event,time,obj_category,count,disposition,org,place,has_name,source,possible_roster,notes
乡保长调训,1950.8-1951.1.3,旧乡保长,543(第一批426+第二批117),罪大恶极者枪决和判刑,其余放回生产,县人民政府/民政科,县(调县学习),无姓名,民政志m-77;m-78;z-68;z-69,调训名册/处理决定/审查表,训完日期1951.1.3;县志p-1010有《废除旧乡保政权指示》原文(调县学习1-2月再处理)
乡村干部轮训清洗,1951.3起,乡村干部(含兵痞、二流子、地主狗腿),三批共1258人,教育培养和审查清洗,县委,县,无姓名,民政志m-78;z-69,轮训名册,为土改准备
捕杀罪大恶极分子,1950.12-1951.3,匪、特、反革命分子,10余名,捕杀,减租退押运动,全县,无姓名,县志p-0074,镇反定案名单,与减租退押同步
土匪处置,1950-1951.1,土匪,歼灭22/瓦解527/自新316/缴枪1000支(上半年);年底15股肃清缴枪1500余支、击毙20余人、抓获骨干100余人,歼灭/瓦解/自新/击毙/抓获,县政府+解放军,全县,个别有姓名(龚方谷/李坤山/杨氏五郎/苏雄飞),县志p-0074;p-0269;民政志m-77,清匪剿匪案卷,击毙20余人无姓名
敌特组织处理,1951.1,巴山中美技术合作所骨干,骨干59人处理、登记自新830余人,逮捕处理,县公安局,全县,无姓名,县志p-0037;p-0270,案卷,1951.1破获
烟毒犯处置,1950.12-1952.10,烟毒犯,1950.12.6公审3人(黄玉书等);1952年350名(166不予追究/128登记自新/73严厉打击),公审/判刑/管制/登记自新,县临时人民法庭(1952),全县,公审3人有名(黄玉书非李姓),县志p-0037;p-0070;p-0267;p-0268;民政志m-30,肃毒案卷,1952年"县成立临时人民法庭处治首恶分子"
三反处置,1952.1-6,贪污分子,425人(免处355/警告10/记过35/降职7/撤职5/开除11/判刑2),党纪政纪+判刑2,三反法庭,县区机关,无姓名,县志p-0077;p-0038,三反案卷,赃款3.14亿元
监委处理干部,1952.8起,贪污及违法乱纪干部,49人(判刑9/劳改3/管制8/开除回家2/劝回家6/撤职降职记过21),判刑/劳改/管制/行政处分,县人民监察委员会,县,无姓名,县志p-0340,监委案卷,1952.8成立
法院判刑,1950-1953.10,土匪/恶霸/特务/反动党团骨干/会道门头子,一批,死刑/无期/有期徒刑,县人民法院(庭),全县,无姓名,县志p-0285,刑事案卷(9824卷含刑7211卷),档案志记载案卷规模
反动党团登记,1952.1.5-31,反动党团军政警人员,登记数百人(收缴证件1000余份),登记自新,县公安局,每区1-2个登记处,无姓名,县志p-0269,登记名册/自新悔过书,破获"暗杀团""反共救国青年军"10多件
反动党团首恶处理,1953,反动党团首恶,若干,公审批斗后依法处理,县人民政府,全县,无姓名,县志p-0269,案卷,1953年
第三期镇反,1953.1-5,会道门头子为主,一批,打击处理,县公安局,全县,无姓名,县志p-0270,案卷,至1958查漏"明理道""万金堂"
皇娘案,1950.3,同善社"皇娘"案,拘捕8名首要;首犯肖履臣、骨干何仕彦/何仕新/何仕万判死,判处死刑/拘捕,县公安局/人民法庭,运山乡,有姓名(非李姓),县志p-0036;p-0075,案卷,1950.3.22-23
龚方谷股匪,1950.1-4,匪众,打死3/打伤4/俘47/投诚163,枪决首犯,解放军513团+县大队,文昌木叶梁/渔溪天池寨,龚方谷,县志p-0382,案卷,龚1950.4.2被歼押县城处决
杨氏五郎,1950.2-6,匪首兄弟5人+帮凶,杨厚忠等5人6.23被擒;帮凶侯禹清/陈惠一/李兴太被诱捕,处极刑,县公安队,新观/龙王,杨氏五郎+帮凶,县志p-0383,案卷,杨仕楷(雍河乡白运村)侄辈
李坤山股匪,1950.2-1951.1,匪徒,1951.1.17三匪被击毙四匪三日内抓获,击毙,解放军/公安队/农民自卫队,天观乡白坪村,李坤山,县志p-0383;p-0990,案卷,陶芜氏报信烧房
肃毒,1952.7-10,烟毒犯,350名烟毒犯(166不予追究/128自新/73打击);新缴鸦片180多两,逮捕/自新/打击,肃毒办公室(各区),全县,无姓名,县志p-0268,肃毒案卷,8.25公开逮捕数人
婚姻法宣判,1952.7.15,虐杀妇女儿童罪犯,若干,公判大会,县,县城1.5万人,无姓名,民政志z-25;m-31,案卷,1952.5.25-6.15虐杀妇女6人儿童2人
游民处置,1956,游民(不够判刑),99人,送九龙山农场劳动教养/原籍监督劳动/南充老残院,县民政科,全县,无姓名,县志p-0308,游民改造档案,九龙山农场1956.6.15建
九龙山农场,1956-1965,场员,安置822(判刑15/劳教3/死亡66/逃跑112),劳动改造,县民政/公安,九龙山,无姓名,民政志m-45;z-40,场员名册,1965文革干部劳改半年记录(含李蕴璞)
温全武红灯教,1926,教徒,杀保长土豪劣绅20余人,民国背景,无,无姓名,民政志m-176;z-157,民国史料,非1949-53
