book,page,keyword,ctx_before,ctx_after
xianzhi,p-0032,联保,";红第三十一军、九军也分别在石锣锅、润溪口强渡嘉腔江成功。5月30日“红四方面军全部撒离苍溪。6月“划全县为5区、36个","办事处、203个保。9月县政府抽调民工1万人到今广元中子铺参加修筑川陕公路,投工约26万个,耗粮2000余石。民国25年〔(1936)从春至秋干旱180多天。翌年仍久旱不两,大面积粮食歉收,饥民吃草根树皮、神仙面(白泥),甚至人自相食,饿招载道。-5月19日“五峰乡青盐沟农民入股建立第一个信用合作社.坦年,全县建信用社16个。秋苍溪人黄聚五组织饥民团赳省政府请愿。经苍溪人陈维新〔前河南省开封市市长,住成都)说服省主席刘湖,豁免了苍溪当年赋税。10月苍溪始有两区、7乡通电话。是年县政府收音室成立。|成立县民众教育馆,内设图书室、阅览室。民国26年(1937)“1月27日“苍溪县测候所成立,业务由农林技士兼办。8月成都慈幼协会陈铁生来苍救灾,成立“苍溪县灾童收容所“,28年春解散。10月“苍溪至广元沿线发生牛瘦,死牛2.5万多头。川北防疫督导团派员来苍溪县E扑灭牛瘦。11月20日“中共中央派中"
xianzhi,p-0037,废除旧乡保,"日县人民法庭成立。县军队复员委员会成立,开始接收安置第一批复员军人。11月24日“全县清匪反霸、喜租退押工作开始.同时,","、甲制度,建立乡、村人民政权。12月6日_县人民政府在县城召开禁烟禁毒大会,宣布县禁烟禁毒委员会成立。当众烧毁鸦片烟具三大筐、鸦片烟86两5钱2分,公审烟毒犯黄玉书等3人。之后各区、乡成立戒烟所,至1951年底,县内大部分烟民到戒烟所登记并戒绝,一批烟毒犯受到打击,销毁鸦片1064两,并收缴大批炯具和毒资(银圆)10911元。12月25日县城举行抗美援朝、保家卫国群众示威大游行。其后,广大青年踊跃报名参军赴朝作战。19851年1月25日“县城举行保卫世界和平,反对美帝侵略朝鲜的示威游行,有3000多名各界人士参加。1月下旬破获敌特组织“西南长官部巴山中美技术合作所“,速捕并处理骨干分子59人,登记自新830余人。1月“增设第八区。是时,全县共8区、58乡、524村。3月11日“国民党台湾当局飞机一架飞入县境上空,投下9种传单,共7000余份。3月15日苍(溪〉阅(中》公路开工兴建,10月1"
xianzhi,p-0038,训练,"大事记“23。20千伏安发电机的火电厂投产发电。是年中共苍溪县委举办第一期党建","班,至年底全县发展党员240人。1952年1月6日“三反“(反贪污、反浪费、反官像主义)运动在全县展开,至6月中旬结束,县、区千部中清出贪污分子425人,查出赃款和赃物折款共3.14亿元(旧版人民币)。2月20日“苍漫县首次劳动模范代表大会在县城召开。2月29日县人民政府发布《关于使用人民币,禁止银圆、铜圆、镧币流通的布告》。春“苍溪县回龙场、土垭一带划入闻中县。阅中县白庙乡和新观乡祖家沟的阅中窝以及龙王乡的阅中坝,南江县的白山、黄猫、回龙三乡划入苍溪县。6月,昭化县的鹄溟、亭子、白桥、新龙四乡划入苍溪县。4月17日“在全县工商业、小商贩、小手工业者中开展“五反(反行贿、偷税漏税、盗钧国家资财、偷工准料、盗窃国家经济情报),至4月底基本结束。4月“县工会成立,1953年9月停止活动,1956年8月恢复,1964年1月29日改为县总工会。4月苍溪县第一个互助组一一严文贵互助组在城郊乡建立。是"
xianzhi,p-0069,训练,"路畅通。在文教卫生上,区、乡办列宁小学,7岁以上儿童免费入学,村办工余学校、识字班,组织成年人读书识字,县办各类成人教育","班,培养各类专门人才;在红军的帮助下,向广大群众宣传卫生知识,在岳东、元坝、文昌、白庙、烟峰等地建医院(医务所),防病治病…...苏区的建立,使千百年在饥寒交迫中受熬煎的苍溪人民在政治上翻身作了主人,在打土豪分田地中得到经济利益,从而进发出极大革命、生产积极性。在加紧生产的同时,有3万多儿女踊跃参加红军。在1934年川陕省第三次工农兵代表大会上,苍漫被评为模范县。由于张国烯在苏区推行左倾路线,在土地革命中搞“地主不分田,富农分坏田“,在社会肃反中不区分敌我、首恶和协从的界线,在内部肃反中搞扩大化、伤害了许多好人等,为苏区革命和建设造成一定损失。但苍滦人民对革命的忠诚和无私奉献,在中国革命史上留下了光辉的一页。查禁鸦片烟清道光年间,鸦片烟流入苍溪。民国初年苍漫设禁炯查缉局。由于国事纷争,有令不行。民国12年(1923)至22年,军闻田颂尧部驻苍溪,强令百姓普种普吸鸦片烟,全县吸食者占成年人数"
xianzhi,p-0070,训练,"自新,从严教育,主犯、惯犯分别给予判刑、管制处理。点毒被肃清。“新生活“运动民国25年(1936),省政府派别动队来苍溪","保甲人员,开展“新生活“运动。在机关、法团、学校广泛宣传“四维(礼、义、廉、耻)“》、“八德(忠、孝、仁、爱、信、义、和、平)“;要求“衣、食、住、行“达到“整齐、清洁、简单、朴素“人字准则。公务人员力求“明礼义,知廉耻,守纪律,负责任“。把“礼义廉耻“称之为“国之四维“,作为“训政根本“。民国31年县新生活动员委员会成立,县长罗映江兼任主任,国民党县党部书记、县政府社会科科长、民政科科长和商会、教育会理事长、警察局长为委员,下设总务、调查、设计、推行4股,开展新生活宣传,制发新生活徽章,指导机关、法团、学校新生活运动开展。定每年3月为新生活活动月。此项运动在机关、法团,特别是中小学开展了一段时间,但成效甚微。农村未推行。抗日救亡活动民国26年(1937)“七.七“事变后,全国各地抗日怒潮风起云涌。在国共合作,停止内战,一致抗日的形势下,于28年春,苍溪县抗敌后援会宣告成立,县长曾锦柏兼任"
xianzhi,p-0071,联保,"买驱逐机一架,支援抗日。推行地方自治|民国29年(19410),县奉令实行新县制,推行地方自治。县长曾锦柏出巡两区、15","、22场镇,通过实地考察,将全县30联保依就历史沿革、地理形势划为城厢(镇)、东青、玉树、五峰、伏回、五龙、三川、龙王、元中、歧白、东石、岳漓、高黄、文运、龙彭15乡镇。甄选、训练乡镇长。乡镇公所、中心学校、自卫队部合处办公,实行“三位一体“。乡镇公所所属各股(民政、经济、警卫、文化)主任“尽量任用兼职人员、以杜过去党政磨擦,政教分立,军政、教建各异之弊,完成真正“管、教、养、卫“之政治思想。“事后,将此写成《苍溪县乡镇政务改进意见书》报省审核。这种所谓“地方自治“,不仅对百姓无益,反而助长了地方豪强势力的壮大。他们明争暗斗,互相倾轧,使贫苦百姓更陷于水深火热之中。,清除“异党“活动民国28年(1939)6月,阅中绥靖公署主任潘清州来苍溪召开党政军联席会议,了解有关中共苍溪地下党组织活动情况,部唯侦察、防范、逮捕中共地下党员行动计划。30年1月21日,县长曾锦柏、国民党县党部书记长余光玫指"
xianzhi,p-0071,训练,"理形势划为城厢(镇)、东青、玉树、五峰、伏回、五龙、三川、龙王、元中、歧白、东石、岳漓、高黄、文运、龙彭15乡镇。甄选、","乡镇长。乡镇公所、中心学校、自卫队部合处办公,实行“三位一体“。乡镇公所所属各股(民政、经济、警卫、文化)主任“尽量任用兼职人员、以杜过去党政磨擦,政教分立,军政、教建各异之弊,完成真正“管、教、养、卫“之政治思想。“事后,将此写成《苍溪县乡镇政务改进意见书》报省审核。这种所谓“地方自治“,不仅对百姓无益,反而助长了地方豪强势力的壮大。他们明争暗斗,互相倾轧,使贫苦百姓更陷于水深火热之中。,清除“异党“活动民国28年(1939)6月,阅中绥靖公署主任潘清州来苍溪召开党政军联席会议,了解有关中共苍溪地下党组织活动情况,部唯侦察、防范、逮捕中共地下党员行动计划。30年1月21日,县长曾锦柏、国民党县党部书记长余光玫指挥速捕中共地下党员潘实之、杨伯刚和党外进步人士蔡达源等。7月,将潘实之、杨伯刚等送往青城山集中营。32年(1943),设立四川省特别委员会苍溪分会(简称特委分会),至37年特委分会"
xianzhi,p-0072,训练,"军需。一区大队长陶子征,二区大队长赵琏,三区大队长刘汉卿。乡中队长乡长兼任,保分队长保长兼任。同时下发枪支,开展“自卫“","。山垭隘口站岗放哨。各中队应支薪米由大队部核发。次年苍溪解放时,此组织惶于解放军的威刀,不攻自散。“二五“减租民国38年(1949)8月,省政府发布告各县市民众书:“农地减租是永久性的。从本年起,所有民众土地租佃一律按照租佃约租额或习惯实收租额减四分之一,以后年年如此,不得增加.“苍溪农村正当议论推行减租事宜时,县政府于是年10月4日发出训令:“案奉四川省训令,“关于本省原订37、38两年分别实施二五减租,应即停办「,本府所有颁订《四川省二五减租实施办法》及《二五减租推行须知》等各项规章同时孙以废止.“省政府此举意在缓和阶级矛盾,维护其统治,但亦自党办法拙劣,不得不自行废除。"
xianzhi,p-0076,543,"工作。各分团下设工作队,共58个工作队,其中有城郊、东青、五龙、三川、白庙、东溪、龙山、元坝八乡为基点乡。村设工作组,共","个工作组,其中有205个基点组。总部、分部设巡视组,队设巡视员,巡回检查工作进展情况。土改工作自11月7日开始,至次年4月15日结束。历时5个多月。遨照“依靠贫雄农,团结中农,中立富农,打击消灭地主阶级“的土改工作路线,整个工作分五步进行:第一步(11月11日一12月5日)宣传政策,访贫问苦,培养骨干,整顿农民协会、乡村政权、自卫武装组织;第二步(12月6日一12月20日)掌握生产资料占有情况,划分阶级成分。全县划出地主3292户、富农1913户、半地主式富农778户、小土地出租者1043户、小土地经营者534户、地主兼工商业754户、工商业兼地主22户、工商业者170户、中农25016户、贫农34896户、鹿农2892户、小手工业160户、小商贩649户、其他116户。第三步(12月21日一1952年1月10日)惩处违法结合镇压反革命。全县违法地主981户,赔偿违法款108亿元,对民愤极"
xianzhi,p-0078,训练,"业生产互助合作的决议》(草案),批判农村资本主义自发势力的危害性及小农经济骏点.3月县委开办有400余人参加的互助组骨干","班.年底常年性互助组增到910个,季节性5934个,并增办民力、群力两个初级农业生产合作社。1954年3月县委开办互助组长与建党训练班,结合建立农村党组织,总结互助合作优越性,认识“单干不如互助组,互助组不如合作社“的道理,是年办起39个初级农业生产合作社;有常年性互助组2214个、季节性5710个。1955年8月贤彻毛泽东《关于农业合作化问题》的指示,批判合作化运动中“小脚女人走路,东播西摆…...“状态。10月党的七届六中全会(扩大)后,全县广泛宣传贯彻六中全会通过的《关于农业合作化问题的央议)。苍溪合作化运动风起云涌。1956年云峰乡张家坪建起第一个社会主义性质的高级农业生产合作社(简称“高级农业社“),取消土地分红。随即全县首批建起11个高级农业社;初级农业社发展到1048个。入社农户3.28户,占全县总农户的60.39%。1956年农业社发展到1422个,其中高级社114个。19"
