book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,国民党,f-1040,"共苍溪县纪律检查委员会第五节“党务工作第二章“中国","、三青团苍溪县地方组织第一节“中国国民党苍溪县党部第二节“中国三民主义青年团苍溪县分团部第三章“群团第一节“工会“总工会第二节“农协“贫协第三节“少共“共青团第四节“妇女联合会第五节“工商业联合会第六节“侨眷联合会第七节“其它社会团体口第五篇“政权第一章“机构第一节“权力机构第二"
xianzhi,A,三青团,f-1040,"纪律检查委员会第五节“党务工作第二章“中国国民党、","苍溪县地方组织第一节“中国国民党苍溪县党部第二节“中国三民主义青年团苍溪县分团部第三章“群团第一节“工会“总工会第二节“农协“贫协第三节“少共“共青团第四节“妇女联合会第五节“工商业联合会第六节“侨眷联合会第七节“其它社会团体口第五篇“政权第一章“机构第一节“权力机构第二节“行政"
xianzhi,A,会议,f-1040,"维埃工农兵代表选举第三节“人民代表选举第三章“主要","第一节“县参议会会议第二节“县苏维埃代表会议第三节“县各界人民代表会议第四节“县人民代表会议第五节“县各代会、人大常委会会议第六节“县政府政务会议口第六篇“政协第一章“机构第一节“政协委员会第二节“机关委(组、科)、室(处)第二章“委员第一节“产生第二节“构成第三章“历届会议第一"
xianzhi,A,会议,f-1041,"第三节“主席","第四章“主要工作第一节“协商监督第二节“献智出力第三节“广交朋友第四节“自我教育第五节“文史资料工作第六节“提案办理口第七篇“公安司法第一章“机构第一节“公安局第二节“检察院第三节“法院第四节“司法局第二章“公安第一节“治安第二节“案件侦查第三节“户政第四节“消防第五节“看守“劳"
xianzhi,A,公安,f-1041,"教育第五节“文史资料工作第六节“提案办理口第七篇“","司法第一章“机构第一节“公安局第二节“检察院第三节“法院第四节“司法局第二章“公安第一节“治安第二节“案件侦查第三节“户政第四节“消防第五节“看守“劳改第六节“交通安全第三章“检察第一节“刑事检察第二节“法纪检察第三节“经济检察第四节“民事、行政检察第五节“看守、劳改检察第六节“"
xianzhi,A,法院,f-1041,"法第一章“机构第一节“公安局第二节“检察院第三节“","第四节“司法局第二章“公安第一节“治安第二节“案件侦查第三节“户政第四节“消防第五节“看守“劳改第六节“交通安全第三章“检察第一节“刑事检察第二节“法纪检察第三节“经济检察第四节“民事、行政检察第五节“看守、劳改检察第六节“社改检察第七节“控告申诉检察第四章“审判第一节“刑事审判"
xianzhi,A,劳改,f-1041,"节“案件侦查第三节“户政第四节“消防第五节“看守“","第六节“交通安全第三章“检察第一节“刑事检察第二节“法纪检察第三节“经济检察第四节“民事、行政检察第五节“看守、劳改检察第六节“社改检察第七节“控告申诉检察第四章“审判第一节“刑事审判第二节“民事审判第三节“经济审判第四节“行政审判第五节“执行第六节“告诉申诉第七节“人民陪审员制"
xianzhi,A,错案,f-1041,"节“慰问“表彰第五节“扶助孤老第六节二战“时期肃反","复查第二章“安置第一节“还乡“资遣第二节“复退军人安置"
xianzhi,A,复查,f-1041,"慰问“表彰第五节“扶助孤老第六节二战“时期肃反错案","第二章“安置第一节“还乡“资遣第二节“复退军人安置"
xianzhi,A,匪,f-1043,"节“军阅、团阀之战第四节“农民武装暴动第五节“平息","患口第十二篇“经济总貌第一章“经济发展第一节“速度与水平第二节“经济效益第二章“经济结构第一节“社会经济成分第二节“基本建设投资结构第三节“产业结构第四节“流通结构第三章“人民生活第一节“购买力与主要商品销售量第二节“城镇人民生活第三节“农村人民生活口第十三篇“农业第一章“农业生"
xianzhi,A,国民党,p-0006,"检查委员会s]73第五节“党务工作二75第二章中国","、三青团苍溪县地方组织…........4..44.....s185第一节“中国国民党苍溪县党部sccsss。185第二节中国三民主义青年团苍溪县分团部.187第三章“群-团04440000]88`第一节“工会、惹工会心e二8第二节“农华“贫华.二8第三节_少共“共青团e190第"
xianzhi,A,三青团,p-0006,"会s]73第五节“党务工作二75第二章中国国民党、","苍溪县地方组织…........4..44.....s185第一节“中国国民党苍溪县党部sccsss。185第二节中国三民主义青年团苍溪县分团部.187第三章“群-团04440000]88`第一节“工会、惹工会心e二8第二节“农华“贫华.二8第三节_少共“共青团e190第四节“奸"
