"raw_name","count","books","pages","disp_ctx","sample"
"李蕴璞","8","xianzhi","p-0030;p-0260;p-0836","5","〉在成都高等师范学校读书,由荀永芳、张博诗介绍加入中国共产党,为苍溪最早的共产党员。′民国17年(1"
"李蕴璞到","5","xianzhi;minzhengzhi_aa;minzhengzhi_zl","p-1003;m-31;m-88","3","省立剑闻师范任教务主任一期后,去省立阅中中学任教务主任两年。此间,他常谈及“国家要变,社会要变“,示"
"李坤山率","3","xianzhi","p-0074;p-0989;p-0990","3","部盘踢九龙山,勾结惯匪苏雕飞及匪首“杨氏五郎“(杨言中、杨厚中、杨明中、杨恪中、杨克中兄弟〉于195"
"李开湘","6","xianzhi;diminglu","p-0018;p-0031;p-0039","2","、车云海、陈子谦等人先后发动“新观“、“三堆石“及“四蛮寨“农民武装暴动。第二次国内革命战争时期,廖"
"李受馨墓","4","xianzhi","p-0866;p-0960;p-0961","2","清顺治十年,苍溪县令李受馨“为民请命“,后卒于任,县人将其厚营于县城北之白鹤山麓并立祠。顺治辛卯举人"
"李应贞","3","xianzhi","p-0024;p-0959;p-1018","2","、苍溪人张聪等捐资重修。明洪武四年(1371)知县荣思齐建府馆,同时始建盐务分司.十四年(1381年"
"李明","3","xianzhi","p-0018;p-0039;p-1004","2","、樊学文、赵承丰、伍国仲等就出生在这块土地上。1949年12月31日苍漫解放,社会制度的改变使苍溪进"
"李指导员","2","minzhengzhi_zl;minzhengzhi_aa","m-178;z-159","2","一道,到枣碧庙一带侦察地形,被当地团防发觉,不并被梅。他受尽除刑,宁死不跌。第二天,敌人把他押剑升钟"
"李显威于","2","xianzhi","p-0985;p-0986","2","成都四川公立商业专门学校毕业后,回县任区长、县团练局局长。在任县团练局长期中,平定骚扰地方的土匪庞希"
"李显威任","2","xianzhi","p-0985;p-0986","2","涪腔县县长。在洪腔筹办《架江日报》,任董事长,经县府科员赵斐亚举荐委任原中共川东特委秘书长梁佐华为主"
"李朝荣","2","xianzhi","p-0378;p-0966","2","、向悦昌、罗通武、温全江7名骨干各带教徒百人,分道向光山子转移,在张家大院会师扎营。此后,红灯教以光"
"李显威","2","xianzhi","p-0985;p-1002","2",")过去很做了些"
"李正秀抱","2","minzhengzhi_zl;minzhengzhi_aa","m-180;z-161","2","莅小孩和分外3人正被急流卷入江心,韩柏伟正贾前往抢救,又发现徐怀如、李金莲房个少年在激流中挣扎,使转"
"李济琛等","2","minzhengzhi_zl;minzhengzhi_aa","m-177;z-158","2","知名进步人士,并受其影响,加之自身遭遇的体验,他关心人民疾苦,痛恨恶势力。1936年夏,他得知修筑川"
"李受馨","2","xianzhi","p-0836;p-0866","2","》文…...。晋代以来,载于民国《苍溪县志.艺文志》的诗词歌赓和散文161篇(首),民国28年(19"
"李长春","2","xianzhi","p-0378;p-0966","2","、向成义、李朝荣、向悦昌、罗通武、温全江7名骨干各带教徒百人,分道向光山子转移,在张家大院会师扎营。"
"李坤山","2","xianzhi","p-0269;p-0383","2","、龚方谷、“杨氏五郎“三股最为猖猎,百姓屡道其悦,县政府几派保安队、警察队缉拿,均无明显效果。195"
"李兰台墓","2","xianzhi","p-0866;p-0960","2","碑记》,后祠境被毁。"
"李姆居多","11","diminglu","d-119;d-171;d-183","1",",放名。|李家河LT115h5此河边居有李妍人家,放名。`李家岩LTiI5y5n此山岩从前住过李姬人"
"李姆人家","9","diminglu","d-101;d-104;d-266","1","。_柳担湾Jiadanwan此山海昔弧形状似抹担,故名。…眸子梁M5uz1116ng此山梁多冒形山包"
"李先念等","4","xianzhi;diminglu","p-0375;p-0972;d-287","1","在此指挥。渡江突击队集结于塔子山后待命,20门迫击炮置于塔子山、五当山。晚9时许,红三十军八十人师二"
"李阳川","3","xianzhi","p-0201;p-0346;p-0768","1","、刘笃先后离职。27年,余光珍、杨旭奉调参加四川省国民党员干部训练班受训。28年,国民党四川省党务指"
"李蕴璞任","3","xianzhi","p-0033;p-0217;p-1003","1","校长。是年,建立中共县立初级中学支部。12月有限责任“四川省苍溪县合作金库“成立,办理信用合作社和其"
"李妮居多","3","diminglu","d-150;d-240;d-276","1",",故名。(1340"
"李烈钩","2","xianzhi","p-0066;p-0992","1","、熊克武.舒藏任命书于挑行李的扁担中,步行至云南,完成任务。1911年武昌革命成功,成都成立“大汉四"
"李蕴璞代","2","xianzhi","p-0502;p-1003","1","表全县人民送!公斤以上的大雪梨给中央南方革命老根据地访问团,经团长王维丹转赠中央领导。1954年,全"
"李金莲两","2","xianzhi;minzhengzhi_zl","p-0995;z-161","1","少年在激流中拮扎,便转身将他俩带出漩涡。这时,韩柏林已与刺骨的江水搏斗近半小时,又一恶浪打来,徐怀如"
"李的扁担","2","xianzhi","p-0066;p-0992","1","中,步行至云南,完成任务。1911年武昌革命成功,成都成立“大汉四川军政府“,宣告封建君主专制体制的"
"李忠新家","2","xianzhi","p-0031;p-0177","1","里正式成立中共苍溪县委员会。春县奉二十军刘湘命令,开征民国49年(1960)粮税。3月三堆石农会、妇"
"李蕴璞被","2","xianzhi","p-0981;p-1003","1","三军(邓、田、刘)通缉,得常诲清、李子仪多方周旋,《方免于难。常诲清还于巴中办“劝业会“,组织川北各"
"李有为","2","xianzhi","p-0986;p-1025","1","(灌县税捐处长)、李有寿(一区专署保安司令部主任参谋兼岫彭灌三县联防办事处主任),在地方策反起义,以"
"李了","2","danganzhi","a-114;a-52","1",",邀免了文件的委失。专职称职“县水利电力局专职档案员严大容,于1974年从事档松工作后,县水电局领导"
"李阳川任","2","xianzhi","p-0030;p-0976","1","校长。"
"李开湘等","2","xianzhi","p-0975;p-0998","1","7人从孟家嘴出发,经五凤山、唤马溪,13日凌晨到达元坝四蛮寨的五郎庙垭。在何文多家开党员会,成立中共"
"李浚泉等","2","xianzhi","p-0073;p-0980","1","人向县城各界人士呼吓,于同月16日成立了“苍溪县紧急治安维持会“推选出21名委员、11名常委和主任("
"李开湘任","2","xianzhi","p-0381;p-0975","1","营长,后被编为三堆石独立团建制,四蛮寨游击区建立后,在当地党组织领导下打富济贫,开仓放粮。打击元坝场"
"李寅","2","xianzhi","p-0036;p-0179","1","、蔡宝山、白光亮、薛恩厚、薛昌泽、穆至善、李茂祥、马成麂、孙玉先、任德明、赵珊瑚、傅仕元、李子忠来苍"
