name,gender,period,hometown,role,why_added,source,status,notes
李阳川,男,民国-1988?,不详(疑仍居苍溪),国民党苍溪县党务指导委员会/登记委员会委员(1927);县立女子乡村师范学校校长;县临时参议员,民国政治人物;1949后无处置记录且去向未述;1988年猕猴桃研讨活动疑提及(OCR不清),县志p-0201;p-0768;p-0976,待核,若1988仍活动则为现代人物;须查p-0346原图
李方田,男,民国,不详,县参议员(民国36年前后),1947年与程孟平、舒世五等5人推荐国大代表候选人;1949后无记录,县志p-0993,待核,县级政治人物候选
李子义,男,1950,不详,1950年中共苍溪县委委员,1950县委成立时委员(与李寅、蔡宝山、刘云并列);未见处置,县志p-0179,已记录,新政权干部
李德荣,男,1950-1951?,阆中?(OCR乱),民政科长(1950.5起),1950-1951任民政科长;未见处置,民政志m-42;z-37,待核,任职年份OCR表格不清
李正华,男,1927-,苍溪县,民政科长,1953.9-1954.3任民政科长;未见处置,民政志m-43;z-38,已记录,新政权干部
李嘉兴,男,1950,不详,禁烟禁毒委员会委员,1950.12.8禁烟禁毒委员会15名委员之一;未见处置,县志p-1010,已记录,新政权机构成员
李清磁,男,1950,不详,禁烟禁毒委员会副主任委员,1950.12.8副主任委员;疑为李清玉(李蕴璞)或李清碧之OCR误,县志p-1010,待核,弱推断
李有为,男,1986回乡,不详,李显威之子;民国灌县税捐处长,1949.12参与策反(灌县);1986年回乡(诗作p-1025);1980s县志特约编审(p-1036),县志p-0986;p-1025;p-1036,已确认在世,排除"消失"推断
李有寿,男,民国-?,不详,李显威之子;一区专署保安司令部主任参谋兼岫彭灌三县联防办事处主任,1949.12参与策反;1949后无记录,县志p-0986,待核,低优先
李有明,男,民国-?,不详,李显威之子,1949年在成都与李显威改组《啸报》;1949后无记录,县志p-0986,待核,低优先
李福田,男,1949前后,不详,道教分会常务理事,苍溪县道教选举大会当选常务理事(解放前后);1949后无记录,县志p-0903,已记录,1966年后道徒绝迹
李昌基/李元学/李元清,男,1950-1957,不详,立功军人,立功喜报名录(1950-1957,445名之一);受表彰,民政志m-184;m-185;z-165;z-166,待核,OCR混乱名字不确定
李玉保,男/女?,1937,不详,党员,与袁安太、宋南贞等6名党员赴延安学习(1937前后),县志p-0177,已记录,性别OCR不确定
李扬波,男,1936,不详(重庆),地下党员,1936年介绍陈柏林加入中国共产党,县志p-0979,已记录,背景
李淑贞,男/女?,1952,不详,互助组劳模,1952.10第二次互助组劳模会评选(11个模范互助组之一),县志p-0078,已记录,背景
李应贞/李成,男,明代,昭化/苍溪,捐资建庙者,明弘治年间捐资重修王佐祠庙,县志p-0024;p-0959;p-1018,已记录,明代
李平章,男,1933,王渡,猎手,1933年三堆石游击队训练射击,县志p-0970,已记录,1933
李在安,男,1935,王渡,红军造船厂工会委员长,1935年造船渡江,县志p-0865;p-0974,已记录,1935
李天焕,男,1933,不详,红三十军政治部主任,1933年与罗敬三接触购武器,县志p-0987,已记录,1933
李秀训,男/女?,1970s,浙水公社,红旗大队党支部书记,当选中共十一大代表,县志p-0050,已记录,背景
李树林,男,1980s,不详,副县长/县科协主席,1980s,县志p-0807;p-0835,已记录,背景
李在扬,男,1980s,不详,县长助理,苍溪雪梨系繁育推广领导小组组长,县志p-0515,已记录,背景
李育农/李大福,男,1980s,西南农大,园艺系主任,雪梨研究(九龙山/五凤山调查),县志p-0500,已记录,背景
李文学,男,1988,镇水公社,党支部书记,1988全国农村体育积极分子,县志p-0895,已记录,背景
李正楠,男,1980s,陵江镇龙潭村,剪纸艺人,1980s,县志p-0844,已记录,背景
李廷文,男,1977,岐坪,区长,1977年清档工作部署,档案志a-112,已记录,背景
李绍文,男,1970s-1980s,阆中,县革委副主任/县委常委,1970s-1980s,县志p-0182;p-0436,已记录,背景
李开林,男,1980s,盐亭,县委副书记,1980s,县志p-0187;p-0182;档案志a-19,已记录,背景
李文元,男,1980s,不详,县委书记/代县长,1980s(1986-1990),县志p-0229;p-0248;p-0347;p-0351;档案志a-20,已记录,背景
李仕德,男,1960s,不详,干部(事故处理),1960s,民政志m-131;z-114,已记录,背景
李登治,男,1955,不详,东台农业合作社干部,1955,民政志m-187;z-168,已记录,背景
李元泽/李元波,男,1980s-1990,不详,民政志主编/军队退休干部党支部书记/县志公安司法撰稿,1985-1990,民政志m-13;m-14;m-50;z-5;z-45;县志p-1030;p-1031;p-1032,已记录,现代编纂者
李万明/李万翔,男,1933,三川乡柏溪沟(OCR),红军,1933年秋参加红军,县志p-1004,待核,OCR"李家嘴人万明、万翔"疑为人名
