name,book,page,identity,event,disposition,evidence,gender,period,notes
李坤山,xianzhi+minzhengzhi,p-0074;p-0269;p-0383;p-0989;p-0990;z-25;m-77,土匪;巴山中美技术合作所十六支队支队长,1950.2.19劫歧坪区政府杀民政委员吕宏元;3月杀三川区区长王先政;1951.1.16夜窜天观乡白坪村陶氏家,1951.1.17被围烧房后击毙,随匪3匪击毙4匪三日内抓获,被击毙(军事清剿),事实,男,1890-1920年生(1941起匪时成年),登高乡人;陶芜氏获"治安剿匪模范"
李显威,xianzhi,p-0035;p-0237;p-0985;p-0986;p-0988;p-1002,立法委员;民革;三台/涪陵/资中县长,1949.12策反冯均逸起义;1951年被误判死刑,1952年死于云峰乡,1987平反,误判死刑未执行(死于云峰乡,死因未明),事实,男,1896-1952,烟峰场(今云峰场)人,死因原文未写"枪决",仅"误判死刑,1952年死于云峰乡"
李如帮,xianzhi,p-0276,土匪,1951.6在押,供认杀害3名行商交步枪3支,在押(刑期不明),事实,男,不详,不详,看守所教育改造记录
李向荣,xianzhi,p-0361,股匪首领,1950.2.16解放军513团围歼"杨开荣、李向荣、龚方谷股匪",围歼(结果未详),事实,男,不详,不详,p-0383详案未提李向荣,疑OCR或另股匪;待核
李兴太,xianzhi,p-0383,杨氏五郎帮凶匪徒,1950年被公安队诱捕(与侯禹清、陈惠一),被诱捕(结果未详),事实,男,不详,不详,迫使杨厚忠、陈惠德缴械
李阳川,xianzhi,p-0201;p-0768;p-0976,国民党苍溪县党务指导/登记委员会委员(1927);县立女子乡村师范学校校长;县临时参议员,1949后无处置记录,无,事实,男,1880-1910年生,可能仍居苍溪(1988年猕猴桃活动疑提及),1949后去向未述;重点候选
李方田,xianzhi,p-0993,县参议员(民国36年前后在任),1947年与程孟平、舒世五等推荐国大代表候选人,1949后无记录,无,事实,男,不详,1949后去向未述;候选
李浚泉,xianzhi,p-0073;p-0980,民国教育局长;1949.11紧急治安维持会委员,1933年随县长王寅曦组织"赤难协济会";1949.11参与治安维持会,1949后无记录,无,事实,男,不详,维持会1950.1.2解散;候选
李子义,xianzhi,p-0179,1950中共苍溪县委委员,1950年县委成立时委员(与李寅、蔡宝山、刘云并列),未处置(县委委员),事实,男,不详,背景
李德荣,minzhengzhi_aa+zl,m-42;z-37,民政科长(1950.5起,OCR),1950-1951任民政科长,未处置,事实,男,1914,阆中?(OCR乱),任职时间OCR不确定
