book,page,raw_name,ctx_before,ctx_after,possible_person,possible_period
xianzhi,f-1051,李受馨陶,"三十一篇“人物谯玄王?王绩王佐","淑礼",,
xianzhi,f-1052,李阳川蒲,"玉陶家华陈子谦孙素常舒宁姚家润","云芝余骑义陈柏林余光珩常诲清邓世钧陶友三李显威罗敬三陈维新陶苏氏马三林“马清武白明清庞克道王育普舒子",,
xianzhi,f-1052,李显威罗,"陈柏林余光珩常诲清邓世钧陶友三","敬三陈维新陶苏氏马三林“马清武白明清庞克道王育普舒子铭苗裕厚韩柏林严文贵王长德樊学文邹德函舒辉暮赵继",,
xianzhi,f-1052,李蕴璞张,"文邹德函舒辉暮赵继熊景钊杨芹英","盛莲李明罗洪元李君[妻'…'口息口附录一、文存",,
xianzhi,f-1052,李明罗洪,"暮赵继熊景钊杨芹英李蕴璞张盛莲","元李君[妻'…'口息口附录一、文存",,
xianzhi,f-1052,李君,"钊杨芹英李蕴璞张盛莲李明罗洪元","[妻'…'口息口附录一、文存",,
xianzhi,p-0001,李孔一河,"志编紊委员会编2巳芸城伟八、,","(县“应(又里友于应N尔颂(吾N(5X1XT艮N乃四川人民出版社x佑4′′.′}′′【蓁′薯，""`\",,
xianzhi,p-0013,李藏婉,"svsscs。402落回茵中药","rnrassssceneucacasascuasuecacasucocasatosrrreuasea",,
xianzhi,p-0018,李开湘,"“农民义军;1933年张人权、","、车云海、陈子谦等人先后发动“新观“、“三堆石“及“四蛮寨“农民武装暴动。第二次国内革命战争时期,廖",,
xianzhi,p-0018,李先念率,"曾^驻足苍溪;徐向前、王树声、","红四方面军在文昌客建立川陕省苍溪县苏维埃政府,取得“反六路围攻“最后一仗一一黄猫垭及强渡嘉陵江战斗的",,
xianzhi,p-0018,李泽民及,"、任荣、杨大易、吴忠、苏毅然、","中国人民解放军将军的任荣、杨大易、吴忠、李开溥、李明、樊学文、赵承丰、伍国仲等就出生在这块土地上。1",,
xianzhi,p-0018,李开溥,"放军将军的任荣、杨大易、吴忠、","、李明、樊学文、赵承丰、伍国仲等就出生在这块土地上。1949年12月31日苍漫解放,社会制度的改变使",,
xianzhi,p-0018,李明,"的任荣、杨大易、吴忠、李开溥、","、樊学文、赵承丰、伍国仲等就出生在这块土地上。1949年12月31日苍漫解放,社会制度的改变使苍溪进",,
xianzhi,p-0024,李应贞,"洪武年间立庙、弘治年间,昭化人","、苍溪人张聪等捐资重修。明洪武四年(1371)知县荣思齐建府馆,同时始建盐务分司.十四年(1381年",,
xianzhi,p-0025,李自成义,"被淹没。明崇祯十年(1637)","军攻县城,因百户陶怡联兵顽抗未破。明峄祯十一年(1638)知县沈国在县城东门外建牌坊1座,一侧书“汉",,
xianzhi,p-0025,李结实,"0)12月“天暖,百花开放,桃","。明崇祯十七年、清顺治元年〔(1644)张献忠农民起义军占领苍溪,“秋毫无犯“,“征聘贤才“,“保护",,
xianzhi,p-0025,李受馨抱,"十年(1653)清廷编粮,知县","“吾官可弈,古册不可易也“决心如实造册呈报上宪,减轻农民负担。",,
xianzhi,p-0030,李清玉,"资。民国15年(1926)县人","(即李蕴璞〉在成都高等师范学校读书,由荀永芳、张博诗介绍加入中国共产党,为苍溪最早的共产党员。′民国",,
xianzhi,p-0030,李蕴璞,"5年(1926)县人李清玉(即","〉在成都高等师范学校读书,由荀永芳、张博诗介绍加入中国共产党,为苍溪最早的共产党员。′民国17年(1",,
xianzhi,p-0030,李灵椿编,"资,中饱私囊,公路一寸未修。|","素的《苍溪县志》出版。民国18年〔(1829)′〈春“改县公署为县政府,改县知事为县长。.春“在县高",,
xianzhi,p-0030,李先生报,"行的示威游行大会上,请朝鲜志士","告“日本军国主义在朝鲜的暴行“。夏由罗茂修、陶炎武、赵友兰等发起苍中校部分学生和成都回乡大学生刘国柱",,
xianzhi,p-0030,李阳川任,"考棚处建立苍溪县女子师范学校,","校长。",,
xianzhi,p-0031,李忠新家,"县委,霁后在下五里子牛淇岩农民","里正式成立中共苍溪县委员会。春县奉二十军刘湘命令,开征民国49年(1960)粮税。3月三堆石农会、妇",,
xianzhi,p-0031,李开湘,"师。4月16日“共产党员舒宁、","、李元首组织游击队,5月上旬扩建为四盗寨独立营,开辟四蛮寨游击区。4月“建立中共四蛮寨区委。5月6日",,
xianzhi,p-0031,李元首组,"16日“共产党员舒宁、李开湘、","织游击队,5月上旬扩建为四盗寨独立营,开辟四蛮寨游击区。4月“建立中共四蛮寨区委。5月6日午夜王文焕",,
xianzhi,p-0033,李开基,"一带霍乱流行,八庙今红花村一组","、李开业两家共8人死亡。9月张滕、章伯钧来苍视察工作。11月“在县城东苗圃秘密建立中国共产党苍溪县委",,
xianzhi,p-0033,李开业两,"流行,八庙今红花村一组李开基、","家共8人死亡。9月张滕、章伯钧来苍视察工作。11月“在县城东苗圃秘密建立中国共产党苍溪县委员会,潘实",,
xianzhi,p-0033,李蕴璞任,"分团部。秋县立初级中学校铣复,","校长。是年,建立中共县立初级中学支部。12月有限责任“四川省苍溪县合作金库“成立,办理信用合作社和其",,
xianzhi,p-0035,李显威为,"。|10月10日_县参议会选出","省参议员,杨旭为修补参议员。是年国民党苍溪县党部大力发展国民党员,扩大组织,至民国38年(1949)",,
xianzhi,p-0035,李梦林烟,"9日_县城新街(今寡陵路上段)","馆起火,100多户居民房屋被毁。6月县各职业团体和社会团体整顿完毕,计县农会1个,乡农会15个,县工",,
xianzhi,p-0035,李显威当,"院立法委员,2月1日开箱计票,","选。3月9日县卫生院收到美国红十字会及国际福利协会捐赠的药品、器材79种、139件。8月19日“废法",,
xianzhi,p-0036,李寅,"余被歼。1月9日“首批南下干部","、蔡宝山、白光亮、薛恩厚、薛昌泽、穆至善、李茂祥、马成麂、孙玉先、任德明、赵珊瑚、傅仕元、李子忠来苍",,
xianzhi,p-0036,李茂祥,"光亮、薛恩厚、薛昌泽、穆至善、","、马成麂、孙玉先、任德明、赵珊瑚、傅仕元、李子忠来苍溪工作。1月18日“苍漫县人民政府成立,李寅任县",,
xianzhi,p-0036,李子忠来,"玉先、任德明、赵珊瑚、傅仕元、","苍溪工作。1月18日“苍漫县人民政府成立,李寅任县长。2月“全县新建10个区人民政府,领导旧有的1镇",,
xianzhi,p-0036,李寅任县,"月18日“苍漫县人民政府成立,","长。2月“全县新建10个区人民政府,领导旧有的1镇、19乡、289保。2月_县、区、乡政府宣传和贯彻",,
xianzhi,p-0036,李寅任政,"13日“中共苍滓县委员会成立,","治委员(后改称书记)。4月19日“苍溪县第一届第一次各界人民代表大会在县城召开。会议就征粮、剿匪、肃",,
xianzhi,p-0039,李开湘,"_国家授二苍溪籍少将军衔的有:","、吴忠、任荣、樊学文、杨大易;1960年乱升为少将军衔的有赵承丰;1964年晋升为少将军衔的有伍国仲",,
xianzhi,p-0039,李明,"4年晋升为少将军衔的有伍国仲、","。2月10日“开展全县性的反对美帝国主义使用原子武器的签名运动。至月底,参加签名的31.78万人,约",,
